"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANDHANBNK","EQ","14-Feb-2020","        452.05","        454.30","        463.50","        448.60","        452.50","        452.55","        456.79","    1575017","           719446575.30","      49455","     925574","         58.77"
"BANDHANBNK","EQ","17-Feb-2020","        452.55","        452.90","        456.55","        432.60","        435.50","        433.95","        439.12","    1056099","           463753625.35","      29744","     559006","         52.93"
"BANDHANBNK","EQ","18-Feb-2020","        433.95","        434.65","        437.65","        420.20","        422.35","        422.35","        427.39","    2735301","          1169041745.90","      51649","    1936857","         70.81"
"BANDHANBNK","EQ","19-Feb-2020","        422.35","        426.00","        427.35","        409.00","        414.95","        414.90","        413.79","    3247010","          1343589088.55","     117981","    1885354","         58.06"
"BANDHANBNK","EQ","20-Feb-2020","        414.90","        417.95","        434.00","        410.10","        416.00","        415.95","        420.69","    5025228","          2114073774.80","      85744","    3233925","         64.35"
"BANDHANBNK","EQ","24-Feb-2020","        415.95","        414.70","        424.50","        406.25","        408.20","        408.25","        415.89","    2221943","           924080303.75","      55062","    1182862","         53.24"
"BANDHANBNK","EQ","25-Feb-2020","        408.25","        419.00","        425.95","        402.00","        403.10","        403.90","        413.50","    3500768","          1447551036.35","      98664","    1786937","         51.04"
"BANDHANBNK","EQ","26-Feb-2020","        403.90","        415.00","        423.00","        391.30","        392.50","        394.10","        405.95","    7223093","          2932243205.20","     151089","    3052505","         42.26"
"BANDHANBNK","EQ","27-Feb-2020","        394.10","        395.00","        406.00","        387.30","        398.70","        398.80","        395.81","   12889686","          5101860265.80","     126145","    8888649","         68.96"
"BANDHANBNK","EQ","28-Feb-2020","        398.80","        385.20","        388.75","        370.00","        382.85","        383.50","        382.98","   12490831","          4783704819.80","     152112","    8082656","         64.71"
"BANDHANBNK","EQ","02-Mar-2020","        383.50","        395.80","        406.85","        385.00","        392.20","        394.05","        397.08","    6530741","          2593214501.45","     116401","    2919308","         44.70"
"BANDHANBNK","EQ","03-Mar-2020","        394.05","        398.00","        410.70","        395.20","        401.50","        400.80","        402.45","    4542669","          1828188375.90","      85039","    1951016","         42.95"
"BANDHANBNK","EQ","04-Mar-2020","        400.80","        401.50","        409.90","        396.60","        400.05","        400.40","        402.22","    4446134","          1788323901.40","      89812","    2283466","         51.36"
"BANDHANBNK","EQ","05-Mar-2020","        400.40","        405.60","        424.90","        403.10","        424.30","        423.20","        416.85","    4734555","          1973581178.90","      98217","    1925479","         40.67"
"BANDHANBNK","EQ","06-Mar-2020","        423.20","        395.00","        408.90","        388.15","        404.90","        403.85","        403.08","    6061657","          2443350446.75","      90213","    4193769","         69.19"
"BANDHANBNK","EQ","09-Mar-2020","        403.85","        394.40","        402.00","        368.10","        376.45","        374.30","        377.76","    5349844","          2020943700.00","     120028","    2606417","         48.72"
"BANDHANBNK","EQ","11-Mar-2020","        374.30","        376.45","        389.00","        372.00","        377.30","        376.10","        377.68","    3534322","          1334843215.75","      54103","    1622101","         45.90"
"BANDHANBNK","EQ","12-Mar-2020","        376.10","        362.55","        362.70","        327.25","        335.60","        334.95","        336.74","    6089088","          2050462121.20","     118790","    3408784","         55.98"
"BANDHANBNK","EQ","13-Mar-2020","        334.95","        301.50","        362.80","        271.00","        334.00","        327.55","        327.51","    9561878","          3131571496.55","     119638","    5193526","         54.31"
"BANDHANBNK","EQ","16-Mar-2020","        327.55","        322.45","        322.90","        268.40","        282.00","        274.60","        293.52","    8155175","          2393720397.70","     173002","    4054781","         49.72"
"BANDHANBNK","EQ","17-Mar-2020","        274.60","        283.20","        292.55","        252.20","        256.50","        257.75","        273.80","    6694761","          1832997134.85","     180215","    2414966","         36.07"
"BANDHANBNK","EQ","18-Mar-2020","        257.75","        260.00","        265.00","        185.70","        217.00","        224.40","        220.95","   26937172","          5951707696.60","     390001","   14424064","         53.55"
"BANDHANBNK","EQ","19-Mar-2020","        224.40","        202.00","        212.95","        195.05","        199.00","        200.75","        204.16","   14033031","          2865009823.70","     293590","    6284198","         44.78"
"BANDHANBNK","EQ","20-Mar-2020","        200.75","        203.75","        239.85","        203.75","        235.00","        231.60","        226.91","   19133518","          4341596206.35","     186703","   11047357","         57.74"
"BANDHANBNK","EQ","23-Mar-2020","        231.60","        208.45","        220.00","        170.00","        177.00","        173.65","        187.62","   11419604","          2142585230.00","     161893","    6346438","         55.57"
"BANDHANBNK","EQ","24-Mar-2020","        173.65","        191.00","        191.00","        157.05","        164.00","        161.05","        172.65","   11501071","          1985679781.35","     257305","    5303439","         46.11"
"BANDHANBNK","EQ","25-Mar-2020","        161.05","        163.00","        165.00","        152.20","        155.05","        154.75","        158.52","   16358073","          2593142294.35","     276896","    8355161","         51.08"
"BANDHANBNK","EQ","26-Mar-2020","        154.75","        160.80","        224.35","        158.00","        220.00","        215.60","        198.80","   20248870","          4025518033.85","     218954","    7308793","         36.09"
