"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SRTRANSFIN","EQ","28-Sep-2018","       1149.85","       1161.10","       1184.55","       1133.30","       1152.10","       1150.95","       1150.66","    1264211","          1454672500.30","      47891","     472071","         37.34"
"SRTRANSFIN","EQ","01-Oct-2018","       1150.95","       1150.00","       1153.00","       1106.40","       1135.80","       1139.35","       1127.88","    1879934","          2120344161.55","      38387","    1272062","         67.67"
"SRTRANSFIN","EQ","03-Oct-2018","       1139.35","       1140.00","       1153.45","       1058.55","       1076.00","       1077.90","       1100.98","    1341451","          1476906160.10","      62030","     489931","         36.52"
"SRTRANSFIN","EQ","04-Oct-2018","       1077.90","       1110.00","       1127.95","       1057.30","       1094.25","       1094.20","       1086.99","    2294597","          2494215013.45","      71698","     587388","         25.60"
"SRTRANSFIN","EQ","05-Oct-2018","       1094.20","       1078.50","       1097.00","       1025.00","       1030.00","       1044.00","       1060.25","    1759166","          1865158806.20","      32600","    1070759","         60.87"
"SRTRANSFIN","EQ","08-Oct-2018","       1044.00","       1028.80","       1038.70","        902.30","        930.00","        940.55","        968.24","    3870560","          3747611758.10","     107220","    1416685","         36.60"
"SRTRANSFIN","EQ","09-Oct-2018","        940.55","        934.90","        995.20","        925.60","        951.00","        955.85","        953.06","    3025273","          2883256149.95","     119010","    1193750","         39.46"
"SRTRANSFIN","EQ","10-Oct-2018","        955.85","        966.00","       1099.20","        966.00","       1079.30","       1079.95","       1062.41","    3093722","          3286816351.95","      98018","     552210","         17.85"
"SRTRANSFIN","EQ","11-Oct-2018","       1079.95","       1005.00","       1082.00","        995.50","       1043.65","       1046.35","       1039.60","    2596868","          2699691554.45","      97467","     840774","         32.38"
"SRTRANSFIN","EQ","12-Oct-2018","       1046.35","       1056.50","       1145.00","       1026.10","       1038.40","       1039.95","       1089.76","    2093839","          2281789499.55","      71119","     381184","         18.21"
"SRTRANSFIN","EQ","15-Oct-2018","       1039.95","       1054.00","       1054.00","        995.55","       1049.00","       1042.80","       1022.46","    1482936","          1516243613.15","      59583","     347951","         23.46"
"SRTRANSFIN","EQ","16-Oct-2018","       1042.80","       1055.00","       1087.80","       1045.00","       1073.05","       1072.55","       1067.23","    1174683","          1253660886.85","      50506","     234632","         19.97"
"SRTRANSFIN","EQ","17-Oct-2018","       1072.55","       1095.00","       1098.15","        998.00","       1005.00","       1006.25","       1040.45","    1415378","          1472631252.05","      51723","     213468","         15.08"
"SRTRANSFIN","EQ","19-Oct-2018","       1006.25","       1002.00","       1029.00","        981.70","       1012.00","       1009.75","       1005.95","    1996964","          2008841933.30","      78006","     472951","         23.68"
"SRTRANSFIN","EQ","22-Oct-2018","       1009.75","       1027.95","       1052.00","       1005.00","       1016.00","       1017.40","       1028.50","     944260","           971173990.55","      33221","     173098","         18.33"
"SRTRANSFIN","EQ","23-Oct-2018","       1017.40","       1017.40","       1034.50","        992.60","       1002.00","       1005.30","       1011.69","    1623833","          1642811772.55","      52186","     790791","         48.70"
